FLT_Rep1_G1S1	FLT_Rep2_G1S2	FLT_Rep3_G1S3	GC_Rep1_G2S1	GC_Rep2_G2S2	GC_Rep3_G2S3
AT1G72610	3596.43994587823	5463.07219109707	5176.65519027874	579.617681888187	1799.43294453667	1240.16447972817
AT1G72970	3713.11677300062	6403.94848896988	5523.30106620174	1136.63818319594	2335.6231263325	1673.32808896482
AT1G74930	94.4917966132046	273.278394209744	125.529569686403	25.9867576675015	55.0393895220885	47.1360025060512
AT1G77870	107.63848135939	160.972204808479	108.254858261669	25.9867576675015	59.4780499674183	28.4441394433067
AT1G78820	1349.17852207724	1096.85711648568	958.170660358601	210.153779398056	427.886866929785	287.692153226588
AT1G80130	271.150372890066	154.732972063964	124.377922258088	15.8180264063053	63.028978323682	35.7583467287285
AT2G01770	46.0133966116475	37.4353964670882	23.0329485663125	2.25971805804361	13.3159813359892	8.12689698380193
AT2G03750	100.243471189661	157.22866516177	153.169107965978	30.5061937835888	69.2431029471436	35.7583467287285
AT2G08760	3594.79661028496	2548.1026528598	3481.43017579814	549.111488104598	972.066637527209	1342.56338172408
AT2G08770	12515.6438783681	7371.02956436966	8681.11831464319	1971.60400564305	2647.21708959465	4302.37926322474
AT2G16850	529.154061033946	375.601811219785	390.408478198997	106.20674872805	176.658685724123	123.528834153789
AT2G21590	295.800406789162	123.536808341391	134.742749112928	51.9735153350031	52.3761932548907	65.8278655687956
AT2G23010	445.343945777017	418.028593882484	355.859055349528	117.505339018268	126.94568873643	142.220697216534
AT2G23130	423.15891526783	479.173074778728	429.564490761728	136.712942511639	171.332293189727	129.217662042451
AT2G23910	87.0967864434756	164.715744455188	145.107575967769	27.1166166965233	53.2639253439567	48.7613819028116
AT2G24560	143.791864411398	57.4009412495352	92.1317942652501	24.8568986384797	24.8564984938464	30.0695188400671
AT2G24850	12.3250169495484	103.571263558944	58.7340188440969	6.77915417413084	14.2037134250551	8.93958668218212
AT2G25530	93.6701288165681	122.288961792488	133.591101684613	20.3374625223925	34.6215514735718	26.0060703481662
AT2G26150	139.683525428216	240.834383938267	153.169107965978	80.2199910605482	55.0393895220885	43.0725540141502
AT2G26580	105.995145766117	153.485125515061	128.98451197135	13.5583083482617	71.9062992143415	41.4471746173898
AT2G27420	59.1600813578325	96.0841842655263	62.1889611290438	29.376334754567	29.2951589391762	16.2537939676039
AT2G28900	1159.37326105419	618.931888255858	754.329065546735	167.219136295227	371.072013229565	277.127187147646
AT2G30424	54.2300745780131	58.6487877984381	48.3691919892563	20.3374625223925	13.3159813359892	17.066483665984
AT2G33380	2644.12696957646	2232.39747598736	2220.37624179253	485.839382479377	593.892767585117	660.716724783097
AT2G34810	337.705464417627	401.806588746746	419.199663906888	73.4408368864174	98.5382618863198	69.8913140606966
AT2G36870	1492.97038648863	1890.48752158795	1443.01422767948	367.204184432087	676.451851868249	473.798094155652
AT2G38540	8236.3979934849	5471.80711693939	5442.68574621965	1253.01366318518	2697.8178186714	2169.06880497673
AT2G41090	308.947091535347	190.92052198215	126.681217114719	83.6095681476136	64.8044425018139	73.1420728542173
AT2G45900	197.200271192775	119.793268694682	149.714165681031	53.1033743640249	43.4988723642313	52.0121406963323
AT2G46420	387.827200012457	424.267826626999	412.289779336994	57.6228104801121	152.689919319342	104.836971091045
AT3G03820	139.683525428216	341.909954399405	267.182203369225	31.6360528126106	94.0996014409901	91.0212462185816
AT3G04290	3253.80447468079	3230.67471510971	2888.33175021559	167.219136295227	924.129104717648	535.562511232547
AT3G05600	332.775457637808	465.446762740796	437.626022759938	50.8436563059813	132.272081270826	75.5801419493579
AT3G05730	491.357342388664	1195.43699384902	1460.28893910421	163.829559208162	510.445951212918	343.767742414821
AT3G06880	345.922142383993	370.610425024173	382.346946200788	53.1033743640249	164.2304364772	91.8339359169618
AT3G08770	291.69206780598	244.577923584976	179.656998817238	20.3374625223925	64.8044425018139	36.5710364271087
AT3G10520	198.021938989411	194.664061628858	168.140524534081	53.1033743640249	63.916710412748	54.4502097914729
AT3G14210	58.3384135611959	243.330077036073	285.608562222275	19.2076034933707	71.9062992143415	30.8822085384473
AT3G17609	138.861857631579	214.629606411305	199.235005098603	10.1687312611963	96.7627977081879	47.9486922044314
AT3G18000	3140.41431874494	2262.34579316103	1775.8403344627	350.25629899676	929.455497252044	612.768032578665
AT3G21730	115.033491529119	57.4009412495352	47.2175445609407	23.7270396094579	17.7546417813189	21.129932157885
AT3G22540	254.717016957334	334.422875105988	222.267953664916	89.2588632927227	53.2639253439567	94.2720050121024
AT3G23730	3990.01882046715	1664.62729623652	1334.75936941781	917.445531565707	634.72844368215	904.523634297154
AT3G25240	86.275118646839	16.2220051357382	11.5164742831563	6.77915417413084	5.32639253439566	2.43806909514058
AT3G27400	290.048732212706	232.099458095947	222.267953664916	46.324220189894	111.854243222309	71.516693457457
AT3G51238	525.8673898474	556.539560810711	580.430303871075	9.03887223217445	86.9977447284625	44.6979334109106
AT3G51240	783.87107799128	978.311694339904	953.564070645338	20.3374625223925	150.914455141211	75.5801419493579
AT3G52180	751.004366125818	526.59124363704	605.766547294019	183.037162701533	237.912199869673	242.994219815678
AT3G52720	490.535674592028	273.278394209744	251.059139372806	68.9214007703302	131.38434918176	105.649660789425
AT3G54400	5637.46275272345	3551.37127817776	3021.9228519002	772.823575850915	1787.89242737881	1387.26131513499
AT3G55120	405.903891538462	504.130005756787	482.540272464247	46.324220189894	113.629707400441	93.4593153137222
AT4G03210	2364.75991872003	1467.46754150986	1430.34610596801	198.855189107838	482.926256451874	359.208846684045
AT4G04840	26.29336949237	148.49373931945	122.074627401456	14.6881673772835	28.4074268501102	10.5649660789425
AT4G08870	184.05358644659	147.245892770547	185.415235958816	14.6881673772835	69.2431029471436	47.9486922044314
AT4G11460	49.3000677981937	77.3664860319822	77.1603776971469	16.9478854353271	26.6319626719783	23.5680012530256
AT4G12870	1099.39151189972	479.173074778728	436.474375331622	149.141391830878	141.149402161485	174.728285151741
AT4G18290	476.567322049206	149.741585868353	145.107575967769	42.9346431028286	54.1516574330226	63.389796473655
AT4G23250	372.215511876363	471.685995485311	525.151227311925	105.076889699028	202.402916307035	157.661801485757
AT4G24890	67.3767593241981	36.1875499181852	47.2175445609407	22.5971805804361	12.4282492469232	10.5649660789425
AT4G26150	35.3317152553722	44.9224757605058	54.1274291308344	13.5583083482617	15.091445514121	16.2537939676039
AT4G26390	313.05543051853	242.08223048717	228.026190806494	55.3630924220685	96.7627977081879	92.646625615342
AT4G28680	183.231918649953	63.6401739940499	49.5208394175719	10.1687312611963	26.6319626719783	17.066483665984
AT4G28780	71.4850983073809	109.810496303459	114.013095403247	12.4284493192399	23.9687664047805	16.2537939676039
AT4G31760	115.033491529119	77.3664860319822	79.4636725537782	31.6360528126106	27.5196947610443	32.5075879352077
AT4G33905	25.4717016957334	111.058342852362	56.4307239874657	12.4284493192399	21.3055701375827	11.3776557773227
AT4G36280	42.7267254251012	28.7004706247676	33.3977754211531	7.90901320315264	10.6527850687913	10.5649660789425
AT4G37770	141.326861021489	308.218097579026	259.120671371016	14.6881673772835	82.5590842831328	49.5740716011918
AT4G37800	746.074359345998	1274.0513264299	832.641090672197	163.829559208162	471.385739294016	349.456570303483
AT4G39210	1220.17667800529	1012.00355116028	1053.7573969088	141.232378627726	383.500262476488	287.692153226588
AT4G39510	117.498494919028	94.8363377166233	63.3406085573594	22.5971805804361	36.3970156517037	21.9426218562652
AT5G04120	837.279484772657	1029.47340284492	667.955508423063	63.2721056252211	67.4676387690118	73.9547625525975
AT5G05270	415.7639050981	771.169167222016	756.632360403366	11.2985902902181	126.057956647364	64.2024861720352
AT5G08000	843.031159349113	698.794067385646	666.803860994747	158.180264063053	299.165714015223	225.115046451313
AT5G08640	994.21803393024	1449.99768982521	1448.77246482106	50.8436563059813	308.930766994949	178.791733643642
AT5G13930	6642.36246800997	8285.70108471551	7646.93892401576	531.033743640249	2555.78068442085	1477.46987165519
AT5G16350	528.332393237309	128.528194537003	124.377922258088	79.0901320315264	63.028978323682	83.7070389331599
AT5G17040	28.7583728822797	37.4353964670882	56.4307239874657	13.5583083482617	14.2037134250551	8.12689698380193
AT5G17780	66.5550915275615	147.245892770547	97.8900314068282	6.77915417413084	43.4988723642313	19.5045527611246
AT5G20410	386.183864419184	212.1339133135	154.320755394294	62.1422465961993	78.1204238378031	65.0151758704154
AT5G23940	450.273952556836	409.293668040164	358.16235020616	102.817171640984	170.444561100661	144.658766311674
AT5G24850	289.22706441607	376.849657768688	406.531542195416	97.1678764958753	136.710741716155	112.963868074847
AT5G26670	485.605667812208	368.114731926367	348.949170779635	120.894916105333	122.5070282911	131.655731137591
AT5G39150	470.81564747275	1287.77763846783	953.564070645338	93.7782994088099	434.100991553247	215.362770070751
AT5G41460	350.852149163812	334.422875105988	291.366799363853	72.3109778573956	141.149402161485	102.398901995904
AT5G43750	423.980583064466	687.563448445519	640.315970143488	129.933788337508	285.849732679234	201.547045198288
AT5G44110	201.308610175958	263.29562181852	242.997607374597	45.1943611608722	114.517439489507	82.8943492347797
AT5G45960	190.626928819682	209.638220215694	179.656998817238	42.9346431028286	84.3345484612647	73.9547625525975
AT5G46690	121.606833902211	88.5971049721087	86.3735571236719	12.4284493192399	34.6215514735718	37.3837261254889
AT5G48300	3046.74418992837	3512.68803516177	3459.54887466014	517.475435291987	1678.7013804237	1049.99509030721
AT5G48880	687.735945784803	670.093596760878	717.476347840635	21.4673215514143	144.700330517749	78.0182110444985
AT5G49330	266.220366110246	293.243938992191	302.88327364701	42.9346431028286	109.191046955111	91.8339359169618
AT5G50335	355.782155943631	287.004706247676	238.391017661335	94.9081584378317	65.6921745908799	137.344559026253
AT5G53048	95.3134644098412	195.911908177761	196.931710241972	23.7270396094579	80.7836201050009	39.8217952206294
AT5G55340	174.193572886951	127.2803479881	117.468037688194	37.2853479577196	49.7129969876929	44.6979334109106
AT5G55620	180.766915260044	345.653494046114	306.338215931956	38.4152069867414	160.679508120936	82.8943492347797
AT5G59130	176.658576276861	113.554035950167	176.202056532291	18.0777444643489	39.0602119189015	17.8791733643642
AT5G61310	7256.14831209748	13290.8135923652	16250.8968609618	3085.64500825855	4799.96740557956	4425.09540768015
AT5G62210	307.303755942074	425.515673175902	523.99957988361	13.5583083482617	61.2535141455501	26.0060703481662
AT5G65800	1027.0847457957	1501.15939833024	1083.700230045	340.087567735564	413.68315350473	400.656021301435
ATMG01270	142.148528818125	27.4526240758647	50.6724868458875	0	0	0
